19.11	6553960	6553960	U	0	unclassified
80.89	27737588	0	R	1	root
80.89	27737267	0	R1	131567	  cellular organisms
80.85	27723693	0	D	2	    Bacteria
71.31	24454639	0	D1	1783270	      FCB group
71.31	24454638	0	D2	68336	        Bacteroidetes/Chlorobi group
71.31	24454482	0	P	976	          Bacteroidetes
71.20	24416332	0	C	200643	            Bacteroidia
71.20	24415835	0	O	171549	              Bacteroidales
69.75	23918508	0	F	815	                Bacteroidaceae
69.75	23918508	0	G	816	                  Bacteroides
56.12	19243691	19243691	S	47678	                    Bacteroides caccae
9.77	3348812	3348812	S	357276	                    Bacteroides dorei
1.51	516203	516203	S	818	                    Bacteroides thetaiotaomicron
0.63	214916	214916	S	1796613	                    Bacteroides caecimuris
0.68	233455	233455	S	821	                    Bacteroides vulgatus
0.69	235578	235578	S	817	                    Bacteroides fragilis
0.20	68719	68719	S	28116	                    Bacteroides ovatus
0.07	25690	25690	S	246787	                    Bacteroides cellulosilyticus
0.07	25394	25394	S	376805	                    Bacteroides salanitronis
0.01	3535	3535	S	28119	                    Bacteroides zoogleoformans
0.00	1336	1336	S	290053	                    Bacteroides helcogenes
0.00	1030	1030	S	28113	                    Bacteroides heparinolyticus
0.00	142	142	S	151276	                    Bacteroides coprosuis
0.57	196182	0	F	1853231	                Odoribacteraceae
0.57	196182	0	G	283168	                  Odoribacter
0.57	196182	196182	S	28118	                    Odoribacter splanchnicus
0.43	145835	0	F	171550	                Rikenellaceae
0.42	145611	0	G	239759	                  Alistipes
0.33	114050	114050	S	214856	                    Alistipes finegoldii
0.09	31560	31560	S	328814	                    Alistipes shahii
0.00	223	0	G	1611681	                  Mucinivorans
0.00	223	223	S	1433126	                    Mucinivorans hirudinis
0.29	98076	0	F	2005525	                Tannerellaceae
0.29	98065	0	G	375288	                  Parabacteroides
0.24	83906	83906	S	2025876	                    Parabacteroides sp. CT06
0.04	14158	14158	S	823	                    Parabacteroides distasonis
0.00	10	0	G	195950	                  Tannerella
0.00	6	6	S	28112	                    Tannerella forsythia
0.00	4	4	S	712710	                    Tannerella sp. oral taxon HOT-286
0.09	29602	0	F	2005519	                Barnesiellaceae
0.09	29602	0	G	397864	                  Barnesiella
0.09	29602	29602	S	397865	                    Barnesiella viscericola
0.04	15360	0	F	171552	                Prevotellaceae
0.04	15360	0	G	838	                  Prevotella
0.03	10099	10099	S	28131	                    Prevotella intermedia
0.00	882	882	S	652716	                    Prevotella sp. oral taxon 299
0.00	1243	1243	S	1177574	                    Prevotella jejuni
0.00	904	904	S	589436	                    Prevotella fusca
0.00	371	371	S	839	                    Prevotella ruminicola
0.00	907	907	S	28129	                    Prevotella denticola
0.00	411	411	S	28132	                    Prevotella melaninogenica
0.00	409	409	S	589437	                    Prevotella scopos
0.00	127	127	S	52227	                    Prevotella dentalis
0.00	4	4	S	76123	                    Prevotella enoeca
0.03	9799	0	F	2005473	                Muribaculaceae
0.03	9799	0	G	1918540	                  Muribaculum
0.03	9799	9799	S	1796646	                    Muribaculum intestinale
0.00	1674	0	F	171551	                Porphyromonadaceae
0.00	1511	0	G	836	                  Porphyromonas
0.00	1219	1219	S	837	                    Porphyromonas gingivalis
0.00	287	287	S	28123	                    Porphyromonas asaccharolytica
0.00	4	4	S	393921	                    Porphyromonas crevioricanis
0.00	161	0	G	307628	                  Petrimonas
0.00	161	161	S	1642646	                    Petrimonas mucosa
0.00	2	0	G	1784836	                  Fermentimonas
0.00	2	2	S	1562970	                    Fermentimonas caenicola
0.00	517	0	F	2005520	                Dysgonamonadaceae
0.00	517	0	G	294702	                  Proteiniphilum
0.00	517	517	S	1642647	                    Proteiniphilum saccharofermentans
0.00	262	0	F	2005523	                Paludibacteraceae
0.00	262	0	G	346096	                  Paludibacter
0.00	262	262	S	185300	                    Paludibacter propionicigenes
0.00	15	0	O1	333046	                unclassified Bacteroidales
0.00	9	0	O2	185291	                  unclassified Bacteroidales (miscellaneous)
0.00	9	9	S	1400053	                    Bacteroidales bacterium CF
0.00	6	0	G	511434	                  Candidatus Azobacteroides
0.00	6	6	S	511435	                    Candidatus Azobacteroides pseudotrichonymphae
0.00	497	0	O	1970189	              Marinilabiliales
0.00	387	0	F	1471398	                Prolixibacteraceae
0.00	387	0	G	1471399	                  Draconibacterium
0.00	387	387	S	1168034	                    Draconibacterium orientale
0.00	106	0	F	558415	                Marinilabiliaceae
0.00	106	0	G	1193324	                  Alkalitalea
