5.35	1279382	1279382	U	0	unclassified
94.65	22620788	0	R	1	root
94.63	22617848	0	R1	131567	  cellular organisms
81.05	19370091	0	D	2759	    Eukaryota
81.05	19370091	0	D1	33154	      Opisthokonta
81.05	19370091	0	K	33208	        Metazoa
81.05	19370091	0	K1	6072	          Eumetazoa
81.05	19370091	0	K2	33213	            Bilateria
81.05	19370091	0	K3	33511	              Deuterostomia
81.05	19370091	0	P	7711	                Chordata
81.05	19370091	0	P1	89593	                  Craniata
81.05	19370091	0	P2	7742	                    Vertebrata
81.05	19370091	0	P3	7776	                      Gnathostomata
81.05	19370091	0	P4	117570	                        Teleostomi
81.05	19370091	0	P5	117571	                          Euteleostomi
81.05	19370091	0	P6	8287	                            Sarcopterygii
81.05	19370091	0	P7	1338369	                              Dipnotetrapodomorpha
81.05	19370091	0	P8	32523	                                Tetrapoda
81.05	19370091	0	P9	32524	                                  Amniota
81.05	19370091	0	C	40674	                                    Mammalia
81.05	19370091	0	C1	32525	                                      Theria
81.05	19370091	0	C2	9347	                                        Eutheria
81.05	19370091	0	C3	1437010	                                          Boreoeutheria
81.05	19370091	0	C4	314146	                                            Euarchontoglires
81.05	19370091	0	O	9443	                                              Primates
81.05	19370091	0	O1	376913	                                                Haplorrhini
81.05	19370091	0	O2	314293	                                                  Simiiformes
81.05	19370091	0	O3	9526	                                                    Catarrhini
81.05	19370091	0	O4	314295	                                                      Hominoidea
81.05	19370091	0	F	9604	                                                        Hominidae
81.05	19370091	0	F1	207598	                                                          Homininae
81.05	19370091	0	G	9605	                                                            Homo
81.05	19370091	19370091	S	9606	                                                              Homo sapiens
13.59	3247719	0	D	2	    Bacteria
12.58	3006028	0	P	1224	      Proteobacteria
12.57	3004993	0	C	1236	        Gammaproteobacteria
12.57	3004412	0	O	91347	          Enterobacterales
12.56	3002079	0	F	543	            Enterobacteriaceae
11.56	2763765	0	G	561	              Escherichia
11.56	2762791	2762791	S	562	                Escherichia coli
0.00	444	444	S	208962	                Escherichia albertii
0.00	271	271	S	1499973	                Escherichia marmotae
0.00	257	257	S	564	                Escherichia fergusonii
0.74	176681	0	G	570	              Klebsiella
0.46	110878	110878	S	573	                Klebsiella pneumoniae
0.23	55725	55725	S	1463165	                Klebsiella quasipneumoniae
0.01	3515	3515	S	571	                Klebsiella oxytoca
0.02	5032	5032	S	244366	                Klebsiella variicola
0.00	651	651	S	2026240	                Klebsiella quasivariicola
0.00	276	276	S	548	                Klebsiella aerogenes
0.00	163	163	S	1134687	                Klebsiella michiganensis
0.00	57	57	S	1934254	                Klebsiella sp. M5al
0.00	380	380	S	1905288	                Klebsiella sp. LTGPAF-6F
0.06	15154	0	G	544	              Citrobacter
0.06	14868	0	G1	1344959	                Citrobacter freundii complex
0.06	14751	14751	S	546	                  Citrobacter freundii
0.00	55	55	S	67827	                  Citrobacter werkmanii
